language_code,word_text,concept_slug,gloss,is_primary,source_slug,source_locator,confidence,review_status
en,light,illumination,light or illumination,true,vertical-slice-demo,,medium,unreviewed
la,lux,illumination,light,true,vertical-slice-demo,,medium,unreviewed
el,φῶς,illumination,light,true,vertical-slice-demo,,medium,unreviewed
ar,نور,illumination,light,true,vertical-slice-demo,,medium,unreviewed
ja,光,illumination,light,true,vertical-slice-demo,,medium,unreviewed
en,dawn,dawn,dawn or sunrise,true,vertical-slice-demo,,medium,unreviewed
en,sun,sun,the sun,true,vertical-slice-demo,,medium,unreviewed
en,moon,moon,the moon,true,vertical-slice-demo,,medium,unreviewed
en,star,star,a star,true,vertical-slice-demo,,medium,unreviewed
en,sky,sky,the sky,true,vertical-slice-demo,,medium,unreviewed
en,sea,sea,the sea,true,vertical-slice-demo,,medium,unreviewed
en,forest,forest,a forest,true,vertical-slice-demo,,medium,unreviewed
en,fire,fire,fire,true,vertical-slice-demo,,medium,unreviewed
en,wind,wind,wind,true,vertical-slice-demo,,medium,unreviewed
en,courage,courage,courage,true,vertical-slice-demo,,medium,unreviewed
en,wisdom,wisdom,wisdom,true,vertical-slice-demo,,medium,unreviewed
en,truth,truth,truth,true,vertical-slice-demo,,medium,unreviewed
en,freedom,freedom,freedom,true,vertical-slice-demo,,medium,unreviewed
