slug,label,description,domain,status
illumination,Light / illumination,"Visible light, brightness, or the quality of illuminating.",light_and_sky,active
radiance,Radiance,"A shining, glowing, or brilliant quality.",light_and_sky,active
dawn,Dawn,"The beginning of daylight or imagery of sunrise.",light_and_sky,active
clarity,Clarity,"Clearness, lucidity, or freedom from obscurity.",virtues_and_qualities,active
sun,Sun,"The sun or solar imagery.",light_and_sky,active
moon,Moon,"The moon or lunar imagery.",light_and_sky,active
star,Star,"A star or stellar imagery.",light_and_sky,active
sky,Sky,"The sky, heavens, or open expanse.",light_and_sky,active
sea,Sea,"The sea or broad ocean imagery.",water,active
forest,Forest,"A forest, woodland, or grove.",land_and_nature,active
fire,Fire,"Fire, flame, or burning heat.",elements,active
wind,Wind,"Wind, air in motion, or breeze.",elements,active
courage,Courage,"Bravery or the will to face difficulty.",virtues_and_qualities,active
wisdom,Wisdom,"Sound judgment, knowledge, or insight.",virtues_and_qualities,active
truth,Truth,"Truthfulness, reality, or freedom from falsehood.",virtues_and_qualities,active
freedom,Freedom,"Liberty, openness, or absence of restraint.",virtues_and_qualities,active
