 part_of_speech |                   lemma                   |                                         definition                                         
----------------+-------------------------------------------+--------------------------------------------------------------------------------------------
 adj            | prepericardiac                            | anterior to the pericardium
 adj            | myxopapillary                             | Having papillary elements in a myxoid background
 adj            | saprostomous                              | Having bad breath.
 adj            | hyperlipidaemic                           | Alternative form of hyperlipidemic.
 adj            | discouraging                              | That causes discouragement.
 adj            | nightmarelike                             | Resembling or characteristic of a nightmare; nightmarish.
 adj            | space age                                 | Redolent of the space age; appearing futuristic or modern.
 adj            | deavely                                   | Lonely, unfrequented.
 adv            | ajee                                      | Alternative form of agee.
 adv            | ophthalmically                            | In an ophthalmic manner
 adv            | sensitometrically                         | By means of or in terms of sensitometry.
 adv            | indissolubly                              | In an indissoluble manner; in a manner that is unable to be dissolved.
 adv            | all too                                   | Very, extremely; thoroughly but lamentably; excessively.
 adv            | in-tree                                   | Inside of a source tree.
 adv            | spacially                                 | Archaic form of spatially.
 adv            | unredeemably                              | irredeemably
 adv_phrase     | God forbid                                | 
 adv_phrase     | be that as it may                         | Even if that is the case; whether that is true or not; nevertheless.
 article        | the                                       | Used with an adjective
 article        | a                                         | One; used before score, dozen, hundred, thousand, million, etc.
 article        | t'                                        | Northern England form of the (most characteristic of Yorkshire, but also found in areas of
 article        | an                                        | Form of a (all article senses).
 article        | the                                       | Used before a noun phrase, including a simple noun
 article        | tha                                       | Eye dialect spelling of the.
 article        | a                                         | Used before an adjective modifying a person's name, typically used to emphasize that perso
 article        | the                                       | Used before a noun phrase, including a simple noun
 character      | ◌̂                                         | Retained in foreign loan words (mostly French): château, crème brûlée, crêpe, maître d', m
 character      | 𐑻                                         | the sound /ɜːr/.
 character      | ⠱                                         | Renders the print digraph wh.
 character      | P                                         | The sixteenth letter of the English alphabet, called pee and written in the Latin script.
 character      | 𐑔                                         | a letter of the Shavian alphabet, representing the English phoneme /θ/.
 character      | ⠺                                         | Renders the print letter w.
 character      | Q                                         | The seventeenth letter of the English alphabet, called cue and written in the Latin script
 character      | ◌̈                                         | Used to indicate that two identical vowels occur in separate morphemes and are pronounced 
 circumfix      | a- -ing                                   | Used to form present participles and verbal nouns; and, (dialectal) circumfixed to words w
 circumfix      | en- -en                                   | Forms transitive verbs denoting an increase in, or intensification of, the quality denoted
 circumfix      | em- -en                                   | Alternative form of en- -en used prebilabially, that is, when the word to which it is appl
 circumfix      | xX- -Xx                                   | Added to a username for decorative purposes.
 conj           | though                                    | Despite the fact that; although.
 conj           | forthan                                   | For the reason that; because.
 conj           | 'n'                                       | Contraction of and, used mainly in a few set phrases such as rock 'n' roll.
 conj           | since                                     | When or that.
 conj           | save                                      | unless; except
 conj           | quhar                                     | Obsolete spelling of where.
 conj           | in the event that                         | If.
 conj           | wherein                                   | How, or in what way.
 contraction    | I've                                      | Contraction of I + have.
 contraction    | hain't                                    | has not
 contraction    | zup                                       | Alternative form of 'sup (“what's up? how are you?”).
 contraction    | wait'll                                   | Contraction of wait + till.
 contraction    | d'ye                                      | Did ye.
 contraction    | ⠡                                         | child
 contraction    | onna                                      | On the.
 contraction    | ⠊⠍⠍                                       | immediate
 det            | bothe                                     | Obsolete spelling of both.
 det            | whatever                                  | Any; of no matter what type or kind.
 det            | zero                                      | Synonym of no.
 det            | his                                       | Used as a genitive marker in place of ’s after a noun, especially a masculine noun ending 
 det            | eurie                                     | Obsolete form of every.
 det            | 'nough                                    | Alternative spelling of 'nuff.
 det            | many                                      | before a countable noun: A large, indefinite number of.
 det            | many                                      | before a countable noun: (in combinations such as 'as many', 'so many', 'this many') Used 
 infix          | -pr-                                      | a shortened allomorph of the monoclonal antibody affix -pro-, used for ease of pronunciati
 infix          | -ki-                                      | a shortened allomorph of the monoclonal antibody affix -kin-, used before the affixes -xi-
 infix          | -a-                                       | A monoclonal antibody derived from a rat.
 infix          | -tum-                                     | a monoclonal antibody that targets a tumor not covered by one of the suffixes -col-, -mel-
 infix          | -flippin-                                 | Pronunciation spelling of -flipping-.
 infix          | -motherfucking-                           | An intensifier.
 infix          | -freakin'-                                | Pronunciation spelling of -freaking-.
 infix          | -axo-                                     | a hybrid monoclonal antibody, derived from both rat and murine sources
 interfix       | -o-                                       | A linking vowel inserted interconsonantally between two morphemes, to ease pronunciation, 
 interfix       | -cort-                                    | Used to form names of corticosteroids except prednisolone derivatives.
 interfix       | -dil-                                     | Used to form names of vasodilators.
 interfix       | -orph-                                    | Used to form names of morphinan derivates used as opioid receptor antagonists/agonists.
 interfix       | -trop-                                    | Used to form names of atropine derivatives.
 interfix       | -gestr-                                   | Used to form names of estrogens.
 interfix       | -o-                                       | a monoclonal antibody derived from a murine source
 interfix       | -ö-                                       | Alternative spelling of -o-; used to clarify that the O sound should be pronounced distinc
 intj           | holy cricket                              | An interjection showing an extreme form of surprise that can be used for both positive and
 intj           | 'bye                                      | Goodbye: used when the speaker or addressee is departing.
 intj           | grassy arse                               | Eye dialect spelling of gracias.
 intj           | shushy                                    | An instruction to be quiet; hush.
 intj           | I see                                     | I understand.
 intj           | ratio                                     | Indicates disagreement with a post the user disagrees with or dislikes.
 intj           | no contest                                | Expresses certainty in a choice between options or preferences.
 intj           | sayang                                    | alas, what a pity!
 name           | NESPR                                     | Initialism of New England Society of Psychical Research
 name           | Kiscellian                                | An age forming part of the Oligocene.
 name           | Lowell                                    | A number of places in the United States:
 name           | Shenyang                                  | A subprovincial city, the provincial capital of Liaoning, in northeastern China.
