
lang  script     total    filled    pct  vis_total  vis_filled  vis_pct maxlen
ar    Arab       25643     25272  98.6%      21634       21619    99.9%     70
el    Grek       28525     28473  99.8%      24651       24646   100.0%     46
fa    Arab       16016     15974  99.7%      11525       11499    99.8%     57
he    Hebr       12849     12767  99.4%       9920        9890    99.7%     55
hi    Deva       22926     22916 100.0%      18226       18224   100.0%     40
ja    Jpan       97527     96980  99.4%      76465       76335    99.8%     49
ko    Kore       35691     35569  99.7%      31162       31136    99.9%     86
ru    Cyrl       56439     56337  99.8%      46286       46258    99.9%     68
sa    Deva       10537     10511  99.8%       9639        9613    99.7%     26
zh    Hani      154454    126498  81.9%     129487      103061    79.6%     47
ang   Latn       16006         0   0.0%      13192           0     0.0%      0
cy    Latn       17297         0   0.0%      12195           0     0.0%      0
de    Latn       91791         0   0.0%      76033           0     0.0%      0
en    Latn      776603         0   0.0%     432748           0     0.0%      0
es    Latn      112673         0   0.0%      89049           0     0.0%      0
ga    Latn       21740         0   0.0%      16360           0     0.0%      0
is    Latn       18684         0   0.0%      15229           0     0.0%      0
la    Latn       48116         0   0.0%      35622           0     0.0%      0
non   Latn        4486         0   0.0%       3986           0     0.0%      0
pl    Latn      100274         0   0.0%      60461           0     0.0%      0
sw    Latn       10650         0   0.0%       8145           0     0.0%      0

Latn-script rows with a romanization: 0 (MUST be 0 -- non-zero means the script gate leaked)
